,,,,,,,,Cant:,94,26,,324,14,89,233,121,0,349,0,80,0,26,22,0,10,8,27,,,10,12,5,0,4,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,,,,Tipo,,,Tareas / Frecuencia: ,83,26,178,301,14,83,215,110,0,318,0,80,0,26,22,0,10,8,27,64,17,10,12,5,0,4,,,,,FALSE
id,Cod,Plan,Accion,Actividad,Tipo,Parada,Relevancia,Especialidad,D,S,2S,M,MC,2M,T,SE,8M,A,1.5A,2A,3A,4A,5A,6A,8A,10A,1000,1300,1800,6000,22500,40000,55000,55000C,Verificacion,Trabajo,Observaciones,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
1,MEPA,MOTOR ELECTRICO PRINCIPAL (LBD),,,Plan,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,
1,MEPA-A01,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,"Verificar la ausencia de ruidos y vibraciones anormales, no tocar el motor.",Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
2,MEPA-A02,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,Verificación de marcas de tornillería del motor ( no tocar el motor),Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
3,MEPA-A03,MOTOR ELECTRICO PRINCIPAL (LBD),ANOTAR,Anotar la temperatura del motor en el HMI (horario de mayor carga),Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
4,1,MOTOR ELECTRICO PRINCIPAL (LBD),ANOTAR,Registrar la temperatura del motor electrico principal,Tarea,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
4,MEPA-A04,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,Ausencia de exceso de lubricante en superficies contiguas a los rodamientos.,Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
