,id,Cod,Plan,Accion,Actividad,Tipo,Parada,Relevancia,Especialidad,D,S,2S,M,MC,2M,T,SE,8M,A,1.5A,2A,3A,4A,5A,6A,8A,10A,1000,1300,1800,6000,22500,40000,55000,55000C,Verificacion,Trabajo,Observaciones,,False
0,1,MEPA,MOTOR ELECTRICO PRINCIPAL ,,,Plan,,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,
1,1,MEPA-A01,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,"Verificar la ausencia de ruidos y vibraciones anormales, no tocar el motor.",Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
2,2,MEPA-A02,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,Verificación de marcas de tornillería del motor ( no tocar el motor),Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
3,3,MEPA-A03,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Anotar la temperatura del motor en el HMI (horario de mayor carga),Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
4,4,1,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar la temperatura del motor electrico principal,Tarea,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
5,4,MEPA-A04,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,Ausencia de exceso de lubricante en superficies contiguas a los rodamientos.,Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
6,5,MEPA-A05,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,El funcionamiento del motor ventilador a temperatura de activación,Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspección Diaria,,,
7,6,MEPA-A07,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,Verificacion del correcto ajuste de los puntos de lubricación o alemitas.,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
8,7,MEPA-A08,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,"Verificacion de marcas del ajuste y tornillería de tapas, bandejas y accesorios",Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
9,8,MEPA-A09,MOTOR ELECTRICO PRINCIPAL ,LIMPIAR,Limpieza de las superficies del motor y  superficies de la tapa de refrigeración,Actividad,TRUE,MEDIA,ELECTROMECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
10,9,MEPA-A10,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,"Nivel de tensiones, Nivel de corrientes, en el motor",Actividad,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
11,11,2,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar la corriente en la fase U en [A] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
12,12,3,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar la corriente en la fase V en [A] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
13,13,4,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar la corriente en la fase W en [A] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
14,14,5,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar el nivel de tensión  de las fases U-V en [V] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
15,15,6,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar el nivel de tensión  de las fases U-W en [V] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
16,16,7,MOTOR ELECTRICO PRINCIPAL ,ANOTAR,Registrar el nivel de tensión  de las fases W-V en [V] del motor electrico principal en HMI,Tarea,FALSE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
17,10,MEPA-A12,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,Verificar de la conexión de puesta a tierra,Actividad,TRUE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
18,11,MEPA-A06,MOTOR ELECTRICO PRINCIPAL ,MONITORIZAR,Inspecciones SPM,Actividad,FALSE,MEDIA,BASADA EN CONDICION,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Bimensual,,,
19,12,MEPA-A15,MOTOR ELECTRICO PRINCIPAL ,MONITORIZAR,Inspección termográfica del motor.,Actividad,TRUE,MEDIA,BASADA EN CONDICION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
20,13,MEPA-A16,MOTOR ELECTRICO PRINCIPAL ,MONITORIZAR,Inspecciones por análisis de vibraciones,Actividad,FALSE,MEDIA,BASADA EN CONDICION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
21,14,MEPA-A13,MOTOR ELECTRICO PRINCIPAL ,LUBRICAR,Rodamientos del Motor electrico principal con la tecnica de ultrasonidos,Actividad,FALSE,MEDIA,BASADA EN CONDICION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Lubricacion Motor Principal,,,
22,15,MEPA-A17,MOTOR ELECTRICO PRINCIPAL ,REVISAR,Revisar con torquimetro la tornillería de la correcta sujeción a la bancada.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Anual,,,
23,16,MEPA-A18,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,"Verificacion de estanquidad de cajas de conexiones, retenes , tapas y conexiones eléctricas,",Actividad,TRUE,MEDIA,ELECTROMECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Anual,,,
24,17,MEPA-A19,MOTOR ELECTRICO PRINCIPAL ,MEDIR,Medida de la aislación de los conductores del motor,Actividad,TRUE,ALTA,BASADA EN CONDICION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Anual,,,
25,18,MEPA-A20,MOTOR ELECTRICO PRINCIPAL ,VERIFICAR,Verificar el estado de los conductores del motor,Actividad,TRUE,MEDIA,ELECTRICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Anual,,,
