,id,fk_plan
0,19,1
1,20,1
2,21,1
3,22,1
4,25,1
5,26,1
6,33,1
7,34,1
8,37,2
9,38,2
10,40,2
11,41,2
12,44,2
13,45,2
14,52,2
15,53,2
16,56,3
17,57,3
18,58,3
19,59,3
20,62,3
21,63,3
22,70,3
23,71,3
24,92,4
25,93,4
26,94,4
27,95,4
28,98,4
29,99,4
30,106,4
31,107,4
32,110,5
33,111,5
34,112,5
35,113,5
36,116,5
37,117,5
38,124,5
39,125,5
40,166,6
41,167,6
42,168,6
43,169,6
44,172,6
45,173,6
46,180,6
47,181,6
48,184,7
49,185,7
50,186,7
51,187,7
52,190,7
53,191,7
54,198,7
55,199,7
56,202,7
57,203,7
58,222,8
59,223,8
60,224,8
61,225,8
62,228,8
63,229,8
64,236,8
65,237,8
66,240,9
67,241,9
68,242,9
69,243,9
70,246,9
71,247,9
72,254,9
73,255,9
74,276,10
75,277,10
76,278,10
77,279,10
78,282,10
79,283,10
80,290,10
81,291,10
82,294,11
83,295,11
84,296,11
85,297,11
86,300,11
87,301,11
88,308,11
89,309,11
90,312,12
91,313,12
92,314,12
93,315,12
94,318,12
95,319,12
96,326,12
97,327,12
98,348,13
99,349,13
100,350,13
101,351,13
102,354,13
103,355,13
104,362,13
105,363,13
106,366,14
107,367,14
108,368,14
109,369,14
110,372,14
111,373,14
112,380,14
113,381,14
114,422,15
115,423,15
116,424,15
117,425,15
118,428,15
119,429,15
120,436,15
121,437,15
122,440,16
123,441,16
124,442,16
125,443,16
126,444,16
127,447,16
128,448,16
129,456,16
130,457,16
131,498,17
132,499,17
133,500,17
134,501,17
135,502,17
136,503,17
137,504,17
138,505,17
139,510,17
140,511,17
141,512,17
142,513,17
143,526,17
144,527,17
145,528,17
146,529,17
147,534,18
148,536,19
149,537,19
150,538,19
151,539,19
152,540,19
153,541,19
154,542,19
155,543,19
156,544,19
157,549,19
158,550,19
159,551,19
160,552,19
161,566,19
162,567,19
163,568,19
164,569,19
165,574,20
166,575,20
167,576,20
168,577,20
169,578,20
170,579,20
171,580,20
172,581,20
173,582,20
174,587,20
175,588,20
176,589,20
177,590,20
178,604,20
179,605,20
180,606,20
181,607,20
182,648,21
183,649,21
184,650,21
185,651,21
186,653,21
187,652,21
188,654,21
189,655,21
190,660,21
191,661,21
192,662,21
193,663,21
194,676,21
195,677,21
196,678,21
197,679,21
198,720,23
199,721,23
200,722,23
201,723,23
203,724,23
204,726,23
205,727,23
206,732,23
207,733,23
208,734,23
209,735,23
210,748,23
211,749,23
212,750,23
213,751,23
214,756,24
215,757,24
216,758,24
217,759,24
218,761,24
219,760,24
220,762,24
221,763,24
222,768,24
223,769,24
224,770,24
225,771,24
226,784,24
227,785,24
228,786,24
229,787,24
231,792,25
232,794,25
233,795,25
234,800,25
235,801,25
236,840,26
237,841,26
238,842,26
239,843,26
240,845,26
241,844,26
242,846,26
243,847,26
244,852,26
245,853,26
246,854,26
247,855,26
248,868,26
249,869,26
250,870,26
251,871,26
252,876,27
253,877,27
254,878,27
255,879,27
256,881,27
257,880,27
258,882,27
259,883,27
260,888,27
261,889,27
262,890,27
263,891,27
264,904,27
265,905,27
266,906,27
267,907,27
268,881,28
269,880,28
270,888,28
271,889,28
272,904,28
273,905,28
274,948,29
275,949,29
276,950,29
277,951,29
278,954,29
279,955,29
280,962,29
281,963,29
282,966,31
283,967,31
284,968,31
285,969,31
286,972,31
287,973,31
288,980,31
289,981,31
290,984,30
291,985,30
293,987,30
294,990,30
295,991,30
296,998,30
297,999,30
298,1002,32
299,1003,32
301,1005,32
302,1008,32
303,1009,32
304,1016,32
305,1017,32
306,1038,33
307,1039,33
308,1040,33
309,1041,33
310,1044,33
311,1045,33
312,1052,33
313,1053,33
314,1056,34
315,1057,34
316,1059,34
317,1096,35
318,1097,35
319,1098,35
320,1099,35
321,1102,35
322,1103,35
323,1110,35
324,1111,35
325,1114,35
326,1115,35
327,1116,35
328,1117,35
329,1120,35
330,1124,35
331,1125,35
332,1127,35
333,1128,36
334,1129,36
336,1131,36
337,1134,36
338,1135,36
339,1142,36
340,1143,36
341,1146,36
342,1167,37
343,1168,37
344,1169,37
345,1170,37
346,1171,37
347,1174,37
348,1175,37
349,1183,37
350,1184,37
351,1187,38
352,1188,38
353,1189,38
354,1190,38
355,1191,38
356,1194,38
357,1195,38
358,1203,38
359,1204,38
360,1227,39
361,1228,39
362,1229,39
363,1230,39
364,1231,39
365,1234,40
366,1235,40
367,1243,40
368,1244,40
369,1247,41
370,1248,41
371,1249,41
372,1250,41
373,1251,41
374,1254,41
375,1255,41
376,1263,41
377,1264,41
378,1267,42
379,1268,42
380,1269,42
381,1270,42
382,1271,42
383,1274,42
384,1275,42
385,1283,42
386,1284,42
387,1331,43
388,1332,43
389,1333,43
390,1334,43
391,1335,43
392,1336,43
393,1337,43
394,1338,43
395,1339,43
396,1345,43
397,1346,43
398,1347,43
399,1348,43
400,1349,43
401,1350,43
402,1366,43
403,1367,43
404,1368,43
405,1369,43
406,1375,43
407,1376,43
408,1377,43
409,1378,43
410,1379,43
411,1380,43
412,1381,43
413,1382,43
414,1387,43
415,1388,43
416,1389,43
417,1390,43
418,1403,43
419,1404,43
420,1405,43
421,1406,43
422,1455,44
423,1456,44
424,1457,44
425,1458,44
426,1459,44
427,1460,44
428,1461,44
429,1462,44
430,1463,44
431,1469,44
432,1470,44
433,1471,44
434,1472,44
435,1473,44
436,1474,44
437,1490,44
438,1491,44
439,1492,44
440,1493,44
441,1499,46
442,1500,46
443,1501,46
444,1502,46
445,1503,46
446,1504,46
447,1505,46
448,1506,46
449,1507,46
450,1513,46
451,1514,46
452,1515,46
453,1516,46
454,1517,46
455,1518,46
456,1534,46
457,1535,46
458,1536,46
459,1537,46
460,1543,47
461,1544,47
462,1545,47
463,1546,47
464,1547,47
465,1548,47
466,1549,47
467,1550,47
468,1551,47
469,1557,47
470,1558,47
471,1559,47
